Empresa,Telefone,Endereco,Cidade,Categoria,Avaliacao,Site,Score,Prioridade,Tem Site
Pizzaria Rhino - Uberaba - Av. das Torres,(41) 3284-5533,"Av. Comendador Franco, 5980 - Uberaba, Curitiba - PR, 81560-000",Curitiba,Pizzaria,"4,5",pizzariarhino.com.br,85,ALTA,SIM
Soul of Pizzaria,(41) 98530-0603,"Rua Dr. Gabriel Ferreira Filho, 792 - Uberaba, Curitiba - PR, 81550-220",Curitiba,Pizzaria,"4,7",soulofpizzaria.com.br,85,ALTA,SIM
Pizza Maravilha - Rodízio de Pizza à domicílio | Curitiba PR e Região,(41) 98420-3928,"R. Paulo de Frontin, 1040 - Cajuru, Curitiba - PR, 82940-070",Curitiba,Pizzaria,"5,0",api.whatsapp.com,85,ALTA,SIM
Pizzaria Ferreira's,(41) 3093-0030,"R. Cap. Leônidas Marques, 328 - Uberaba, Curitiba - PR, 81540-470",Curitiba,Pizzaria,"4,6",app.anota.ai,85,ALTA,SIM
Via Sale Pizzaria,(41) 3014-4424,"Av. Sen. Salgado Filho, 4291 - 11 - Uberaba, Curitiba - PR, 81570-000",Curitiba,Pizzaria,"4,7",viasalepizzaeburger.saipos.com,85,ALTA,SIM
Curitizza by Pizzaria Betell Top Das Galáxias,(41) 3226-5412,"Em Frente Ao Terminal de Ônibus Vila Oficinas - R. Eng. Costa Barros, 642 - Cajuru, Curitiba - PR, 82950-420",Curitiba,Pizzaria,"5,0",curitizza.com,85,ALTA,SIM
La Famiglia Pizzeria - Uberaba,(41) 99932-4051,"R. Cap. Leônidas Marques, 940 - Lj 4 - Uberaba, Curitiba - PR, 81540-470",Curitiba,Pizzaria,"4,2",mandarpedido.com,75,MEDIA,SIM
"Pizzaria Nova Vicenza: Pizzas, Combos, Forno a Lenha, Delivery em Curitiba PR",(41) 3369-1818,"R. Cap. Leônidas Marques, 2030 - Uberaba, Curitiba - PR, 81550-000",Curitiba,Pizzaria,"4,3",pizzarianovavicenza.com.br,75,MEDIA,SIM
Pizzaria Garage 70 Cajuru,(41) 3253-2121,"R. Luiz França, 2389 - Cajuru, Curitiba - PR, 82940-090",Curitiba,Pizzaria,"4,4",deliverydireto.com.br,75,MEDIA,SIM
La'Italia Pizzaria (Cajuru),(41) 4042-1234,"R. Eng. Benedito Mario da Silva, 264 - Cajuru, Curitiba - PR, 82970-000",Curitiba,Pizzaria,"3,6",laitalia.pizza,65,MEDIA,SIM
Pizzaria Dom Mano 🍕😋 Somente Delivery,(41) 3344-4450,"Rua Ceilão, 32 - Cajuru, Curitiba - PR, 82960-160",Curitiba,Pizzaria,"4,7",,60,MEDIA,NAO
Campezate pizzaria express,,"Rua Fernando Antonio Alberti, 352 - Uberaba, Curitiba - PR, 81590-552",Curitiba,Pizzaria,"4,6",app.anota.ai,55,MEDIA,SIM
Pizzaria 1° De Maio,(41) 99947-1162,"Rua Monsenhor Dunand, 282 - Uberaba, Curitiba - PR, 81590-330",Curitiba,Pizzaria,"4,1",,50,MEDIA,NAO
Pizzaria Teste,41999999999,,Cuririba,Pizzaria,,,,,
Restaurante Demo,41888888888,,Cuririba,Pizzaria,,,,,
Pizzaria Teste,41999999999,,Cuririba,Pizzaria,,,,,
Restaurante Demo,41888888888,,Cuririba,Pizzaria,,,,,
La Famiglia Pizzeria - Uberaba,(41) 99932-4051,"R. Cap. Leônidas Marques, 940 - Lj 4 - Uberaba, Curitiba - PR, 81540-470",Curitiba,Pizzaria,"4,2",mandarpedido.com,,,
La'Italia Pizzaria (Cajuru),(41) 4042-1234,"R. Eng. Benedito Mario da Silva, 264 - Cajuru, Curitiba - PR, 82970-000",Curitiba,Pizzaria,"3,6",laitalia.pizza,,,
Soul of Pizzaria,(41) 98530-0603,"Rua Dr. Gabriel Ferreira Filho, 792 - Uberaba, Curitiba - PR, 81550-220",Curitiba,Pizzaria,"4,7",soulofpizzaria.com.br,,,
Pizzaria Ferreira's,(41) 3093-0030,"R. Cap. Leônidas Marques, 328 - Uberaba, Curitiba - PR, 81540-470",Curitiba,Pizzaria,"4,6",app.anota.ai,,,
"Pizzaria Nova Vicenza: Pizzas, Combos, Forno a Lenha, Delivery em Curitiba PR",(41) 3369-1818,"R. Cap. Leônidas Marques, 2030 - Uberaba, Curitiba - PR, 81550-000",Curitiba,Pizzaria,"4,3",pizzarianovavicenza.com.br,,,
Pizzaria Dom Mano 🍕😋 Somente Delivery,(41) 3344-4450,"Rua Ceilão, 32 - Cajuru, Curitiba - PR, 82960-160",Curitiba,Pizzaria,"4,7",,,,
Via Sale Pizzaria,(41) 3014-4424,"Av. Sen. Salgado Filho, 4291 - 11 - Uberaba, Curitiba - PR, 81570-000",Curitiba,Pizzaria,"4,7",viasalepizzaeburger.saipos.com,,,
Curitizza by Pizzaria Betell Top Das Galáxias,(41) 3226-5412,"Em Frente Ao Terminal de Ônibus Vila Oficinas - R. Eng. Costa Barros, 642 - Cajuru, Curitiba - PR, 82950-420",Curitiba,Pizzaria,"5,0",curitizza.com,,,
Pizzaria Rhino - Uberaba - Av. das Torres,(41) 3284-5533,"Av. Comendador Franco, 5980 - Uberaba, Curitiba - PR, 81560-000",Curitiba,Pizzaria,"4,5",pizzariarhino.com.br,,,
